alipay.com,110.76.20.33
paipai.com,163.177.72.179
softonic.com,46.28.209.20
imageshack.us,208.94.0.45
nifty.com,222.158.213.148
cnn.com,157.166.226.25
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.48
zynga.com,54.148.147.56
partypoker.com,88.81.155.145
hp.com,15.216.241.18
walmart.com,161.170.244.20
kugou.com,14.18.236.182
ebay.de,66.211.185.77
hotfile.com,199.184.144.150
youdao.com,61.135.218.26
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.156.159
jp.msn.com,23.101.196.141
hotmail.com,157.56.172.28
360.cn,125.88.190.56
craigslist.org,208.82.238.129
qiyi.com,101.227.22.157
weather.com,96.8.82.132
soku.com,43.250.12.57
alibaba.com,198.11.132.23
renren.com,220.181.181.222
blogger.com,216.58.192.41
vkontakte.ru,95.213.4.245
livedoor.jp,125.6.149.67
answers.com,67.196.156.65
rapidshare.com,10.11.12.13
daum.net,110.45.215.23
2345.com,42.62.30.180
7k7k.com,115.182.59.33
photobucket.com,209.17.68.100
mediafire.com,205.196.120.13
ehow.com,23.227.11.12
seesaa.net,59.106.28.139
wordpress.com,192.0.78.9
amazon.com,176.32.103.205
tudou.com,123.126.98.150
sohu.com,123.125.116.19
yahoo.co.jp,183.79.135.206
apple.com,17.142.160.59
hao123.com,123.125.114.224
windows.com,191.237.78.58
ebay.com,66.211.160.87
pps.tv,58.83.190.154
56.com,180.153.21.176
xunlei.com,182.118.18.100
facebook.com,69.171.230.68
youtube.com,216.58.192.14
fc2.com,54.153.95.83
paypal.com,66.211.169.66
yahoo.com,98.138.253.109
sogou.com,106.120.188.47
ku6.com,122.11.45.243
tmall.com,140.205.130.99
live.com,65.55.206.154
msn.com,23.101.196.141
wikipedia.org,208.80.153.224
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,74.125.28.85
baidu.com,180.149.132.47
blogspot.com,216.58.192.41
microsoft.com,23.100.122.175
qq.com,163.177.65.160
taobao.com,140.205.220.96
bing.com,204.79.197.200
soso.com,106.120.151.169
163.com,123.58.180.8
ask.com,66.235.120.127
adobe.com,192.150.16.117
sina.com.cn,202.108.33.60
twitter.com,199.59.149.198
mozilla.com,63.245.213.24
youku.com,111.13.127.48
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
sdjjdsaf.com,
