wordpress.com,192.0.78.9
amazon.com,176.32.98.166
tudou.com,123.126.98.148
yahoo.co.jp,182.22.59.229
apple.com,17.172.224.47
sohu.com,220.181.90.240
hao123.com,123.125.114.224
windows.com,191.237.78.58
ebay.com,66.211.160.87
xunlei.com,119.188.108.240
56.com,180.153.21.176
fc2.com,54.153.95.83
paypal.com,66.211.169.66
sogou.com,106.120.188.46
pps.tv,58.83.190.154
tmall.com,140.205.130.99
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,74.125.28.87
ifeng.com,210.51.19.61
bbc.co.uk,212.58.244.20
yandex.ru,77.88.55.66
myspace.com,63.135.90.70
goo.ne.jp,153.254.147.65
mail.ru,94.100.180.200
cnet.com,64.30.224.118
go.com,199.181.131.249
4399.com,118.184.184.70
skype.com,91.190.218.46
orkut.com,74.125.28.87
ameblo.jp,180.233.142.129
naver.com,125.209.222.141
flickr.com,69.147.76.173
amazon.co.jp,54.240.252.0
4shared.com,204.155.149.139
linkedin.com,108.174.5.129
imdb.com,207.171.166.22
aol.com,64.12.89.186
facebook.com,69.171.230.68
dailymotion.com,195.8.215.137
yahoo.com,98.138.253.109
youtube.com,216.58.192.46
live.com,65.55.206.154
msn.com,23.101.196.141
wikipedia.org,208.80.153.224
baidu.com,220.181.57.217
blogspot.com,216.58.192.41
microsoft.com,23.100.122.175
qq.com,163.177.65.160
taobao.com,110.75.115.70
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
paipai.com,163.177.72.179
alipay.com,110.76.20.33
hotmail.com,65.55.77.28
softonic.com,46.28.209.20
soso.com,106.120.151.169
nifty.com,222.158.213.148
360.cn,125.88.190.56
163.com,123.58.180.8
adobe.com,192.150.16.117
ask.com,66.235.120.127
twitter.com,199.59.148.10
craigslist.org,208.82.238.129
imageshack.us,208.94.0.45
mozilla.com,63.245.213.24
youku.com,183.61.116.211
cnn.com,157.166.226.26
weather.com,96.8.82.132
soku.com,220.181.185.143
alibaba.com,198.11.132.23
renren.com,220.181.181.224
livedoor.jp,125.6.149.67
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.48
zynga.com,54.200.204.21
blogger.com,216.58.192.41
partypoker.com,88.81.155.145
vkontakte.ru,95.213.4.246
hp.com,15.201.225.10
walmart.com,161.170.244.20
andysayler.com,162.243.49.20
kugou.com,14.18.236.182
wmfo.org,23.92.21.128
ebay.de,66.135.201.153
youdao.com,61.135.218.30
answers.com,67.196.156.65
hotfile.com,199.184.144.150
rapidshare.com,10.11.12.13
qiyi.com,101.227.22.159
daum.net,110.45.215.23
pconline.com.cn,219.136.245.40
7k7k.com,115.182.59.33
odnoklassniki.ru,217.20.147.94
2345.com,42.62.30.180
jp.msn.com,23.101.196.141
photobucket.com,209.17.68.100
mediafire.com,205.196.120.12
ehow.com,23.227.11.12
seesaa.net,59.106.28.139
sdjjdsaf.com,
