amazon.com,72.21.194.212
wordpress.com,192.0.82.252
tudou.com,123.126.98.173
yahoo.co.jp,182.22.59.229
sohu.com,123.125.116.19
apple.com,17.178.96.59
hao123.com,180.149.132.19
windows.com,64.4.11.37
ebay.com,66.211.160.88
pps.tv,58.83.190.154
facebook.com,173.252.110.27
youtube.com,74.125.239.130
yahoo.com,98.139.183.24
xunlei.com,58.251.57.175
paipai.com,112.90.77.176
ifeng.com,210.51.19.61
hotmail.com,65.55.85.12
live.com,65.55.206.154
56.com,59.32.213.232
alipay.com,110.75.143.33
goo.ne.jp,218.213.142.230
360.cn,220.181.24.100
wikipedia.org,208.80.154.224
fc2.com,54.241.180.47
softonic.com,46.28.209.20
bbc.co.uk,212.58.244.18
craigslist.org,208.82.238.129
msn.com,65.55.206.228
paypal.com,66.211.169.66
nifty.com,210.131.4.217
yandex.ru,213.180.193.11
weather.com,96.8.80.132
baidu.com,220.181.111.86
sogou.com,106.120.151.163
imageshack.us,208.94.0.193
myspace.com,216.178.46.224
soku.com,123.126.99.35
blogspot.com,74.125.129.191
tmall.com,110.75.20.163
cnn.com,157.166.226.26
mail.ru,217.69.139.201
alibaba.com,205.204.96.36
ku6.com,122.11.45.242
tianya.cn,124.225.135.222
cnet.com,64.30.224.118
renren.com,220.181.181.222
microsoft.com,65.55.58.201
rakuten.co.jp,202.72.51.22
mywebsearch.com,74.113.233.48
go.com,68.71.220.3
livedoor.jp,125.6.149.67
qq.com,163.177.65.160
zynga.com,74.114.13.1
partypoker.com,194.150.36.34
hp.com,15.240.60.238
walmart.com,161.170.244.20
4399.com,115.182.52.231
blogger.com,74.125.129.191
taobao.com,110.75.20.163
orkut.com,74.125.129.86
about.com,207.241.148.80
vkontakte.ru,87.240.156.165
bing.com,204.79.197.200
kugou.com,183.61.119.254
skype.com,91.190.218.46
orkut.com.br,74.125.129.86
ameblo.jp,180.233.142.129
naver.com,202.131.30.11
flickr.com,69.147.76.173
4shared.com,74.117.178.55
ebay.de,66.135.200.23
youdao.com,61.135.218.27
hotfile.com,199.7.177.216
amazon.co.jp,54.240.250.0
qiyi.com,202.108.14.15
answers.com,67.196.156.65
sina.com.cn,202.108.33.60
linkedin.com,216.52.242.86
pconline.com.cn,219.136.245.40
dailymotion.com,195.8.215.136
odnoklassniki.ru,217.20.147.94
imdb.com,72.21.210.29
jp.msn.com,202.89.231.47
rapidshare.com,154.46.193.6
aol.com,205.188.101.58
daum.net,61.111.62.173
7k7k.com,115.182.59.33
2345.com,42.62.4.52
photobucket.com,209.17.68.100
mediafire.com,205.196.120.13
ehow.com,98.124.247.46
seesaa.net,59.106.98.139
soso.com,183.61.32.183
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.150.39
mozilla.com,63.245.217.194
youku.com,119.167.145.19
sdjjdsaf.com,
andysayler.com,198.199.109.206
wmfo.org,23.92.21.128
